file,rule,redacted,severity,line,context
C:\Users\Dell\Downloads\CredAudit-0.1.0\credaudit_project\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,29,   src/lxml/isoschematron/resources/xsl/XSD2Schtrn.xsl)
C:\Users\Dell\Downloads\CredAudit-0.1.0\credaudit_project\.venv\Lib\site-packages\pip-25.2.dist-info\licenses\src\pip\_vendor\cachecontrol\LICENSE.txt,HighEntropyString,org/**********SE-2,Low,7,    http://www.apache.org/licenses/LICENSE-2.0
C:\Users\Dell\Downloads\CredAudit-0.1.2\credaudit_project\.venv\Lib\site-packages\credaudit-0.1.2.dist-info\direct_url.json,HighEntropyString,/Use**********it-0,Low,1,"{""dir_info"": {""editable"": true}, ""url"": ""file:///C:/Users/Dell/Downloads/CredAudit-0.1.2/credaudit_project""}"
C:\Users\Dell\Downloads\CredAudit-0.1.2\credaudit_project\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,28,   src/lxml/isoschematron/resources/xsl/RNG2Schtrn.xsl and
C:\Users\Dell\Downloads\CredAudit-0.1.2\credaudit_project\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,29,   src/lxml/isoschematron/resources/xsl/XSD2Schtrn.xsl)
C:\Users\Dell\Downloads\CredAudit-0.1.2\credaudit_project\.venv\Lib\site-packages\pip-25.2.dist-info\licenses\src\pip\_vendor\cachecontrol\LICENSE.txt,HighEntropyString,org/**********SE-2,Low,7,    http://www.apache.org/licenses/LICENSE-2.0
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Cust**********lder,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,PyBa**********ived,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,PyBu**********rrow,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,PyBu**********rrow,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,PyBa**********ived,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Pyth**********ream,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Pyth**********ream,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Exte**********pter,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Clas**********ived,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Exte**********pter,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Clas**********ived,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,PyBu**********rrow,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Clas**********pter,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,PyBu**********rrow,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Clas**********pter,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,scop**********_UTC,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Bloc**********QLr5,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Inte**********6a3m,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,myLa**********cker,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Bloc**********vf4d,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Inte**********7jdy,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,T0Xl**********_1_G,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,July**********APIs,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Burp**********zzaq,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,scop**********_UTC,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Burp**********zzaq,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,Inte**********6l1h,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.credaudit_cache.json,HighEntropyString,scop**********_UTC,Low,1,"{""C:\\Users\\Dell\\Desktop\\jython\\Lib\\encodings\\cp437$py.class"": {""size"": 15581, ""mtime"": 1752486435}, ""C:\\Users\\Dell\\Desktop\\jython\\Doc\\javadoc\\org\\python\\core\\stringlib\\InternalFormat"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.venv\Lib\site-packages\credaudit-0.1.3.dist-info\direct_url.json,HighEntropyString,/Use**********it-0,Low,1,"{""dir_info"": {""editable"": true}, ""url"": ""file:///C:/Users/Dell/Downloads/CredAudit-0.1.3/credaudit_project""}"
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,28,   src/lxml/isoschematron/resources/xsl/RNG2Schtrn.xsl and
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,29,   src/lxml/isoschematron/resources/xsl/XSD2Schtrn.xsl)
C:\Users\Dell\Downloads\CredAudit-0.1.3\credaudit_project\.venv\Lib\site-packages\pip-25.2.dist-info\licenses\src\pip\_vendor\cachecontrol\LICENSE.txt,HighEntropyString,org/**********SE-2,Low,7,    http://www.apache.org/licenses/LICENSE-2.0
C:\Users\Dell\Downloads\CredAudit-0.1.4\credaudit_project_014\.venv\Lib\site-packages\credaudit-0.1.4.dist-info\direct_url.json,HighEntropyString,/Use**********it-0,Low,1,"{""dir_info"": {}, ""url"": ""file:///C:/Users/Dell/Downloads/CredAudit-0.1.4/credaudit_project_014""}"
C:\Users\Dell\Downloads\CredAudit-0.1.4\credaudit_project_014\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,28,   src/lxml/isoschematron/resources/xsl/RNG2Schtrn.xsl and
C:\Users\Dell\Downloads\CredAudit-0.1.4\credaudit_project_014\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,29,   src/lxml/isoschematron/resources/xsl/XSD2Schtrn.xsl)
C:\Users\Dell\Downloads\CredAudit-0.1.4\credaudit_project_014\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,com/**********rces,Low,6,http://opensource.adobe.com/wiki/display/cmap/CMap+Resources
C:\Users\Dell\Downloads\CredAudit-0.1.4\credaudit_project_014\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,cmap**********CNS1,Low,27,    python tools/conv_cmap.py pdfminer/cmap Adobe-CNS1 cmaprsrc/cid2code_Adobe_CNS1.txt
C:\Users\Dell\Downloads\CredAudit-0.1.4\credaudit_project_014\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,cmap**********CNS1,Low,28,    reading 'cmaprsrc/cid2code_Adobe_CNS1.txt'...
C:\Users\Dell\Downloads\CredAudit-0.1.4\credaudit_project_014\.venv\Lib\site-packages\pip-25.2.dist-info\licenses\src\pip\_vendor\cachecontrol\LICENSE.txt,HighEntropyString,org/**********SE-2,Low,7,    http://www.apache.org/licenses/LICENSE-2.0
C:\Users\Dell\Downloads\CredAudit-0.1.5\credaudit_project_015\.venv\Lib\site-packages\credaudit-0.1.5.dist-info\direct_url.json,HighEntropyString,/Use**********it-0,Low,1,"{""dir_info"": {}, ""url"": ""file:///C:/Users/Dell/Downloads/CredAudit-0.1.5/credaudit_project_015""}"
C:\Users\Dell\Downloads\CredAudit-0.1.5\credaudit_project_015\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,28,   src/lxml/isoschematron/resources/xsl/RNG2Schtrn.xsl and
C:\Users\Dell\Downloads\CredAudit-0.1.5\credaudit_project_015\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,29,   src/lxml/isoschematron/resources/xsl/XSD2Schtrn.xsl)
C:\Users\Dell\Downloads\CredAudit-0.1.5\credaudit_project_015\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,com/**********rces,Low,6,http://opensource.adobe.com/wiki/display/cmap/CMap+Resources
C:\Users\Dell\Downloads\CredAudit-0.1.5\credaudit_project_015\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,cmap**********CNS1,Low,27,    python tools/conv_cmap.py pdfminer/cmap Adobe-CNS1 cmaprsrc/cid2code_Adobe_CNS1.txt
C:\Users\Dell\Downloads\CredAudit-0.1.5\credaudit_project_015\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,cmap**********CNS1,Low,28,    reading 'cmaprsrc/cid2code_Adobe_CNS1.txt'...
C:\Users\Dell\Downloads\CredAudit-0.1.5\credaudit_project_015\.venv\Lib\site-packages\pip-25.2.dist-info\licenses\src\pip\_vendor\cachecontrol\LICENSE.txt,HighEntropyString,org/**********SE-2,Low,7,    http://www.apache.org/licenses/LICENSE-2.0
C:\Users\Dell\Downloads\CredAudit-0.1.6\credaudit_project_016\.venv\Lib\site-packages\credaudit-0.1.6.dist-info\direct_url.json,HighEntropyString,/Use**********it-0,Low,1,"{""dir_info"": {}, ""url"": ""file:///C:/Users/Dell/Downloads/CredAudit-0.1.6/credaudit_project_016""}"
C:\Users\Dell\Downloads\CredAudit-0.1.6\credaudit_project_016\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,28,   src/lxml/isoschematron/resources/xsl/RNG2Schtrn.xsl and
C:\Users\Dell\Downloads\CredAudit-0.1.6\credaudit_project_016\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,29,   src/lxml/isoschematron/resources/xsl/XSD2Schtrn.xsl)
C:\Users\Dell\Downloads\CredAudit-0.1.6\credaudit_project_016\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,com/**********rces,Low,6,http://opensource.adobe.com/wiki/display/cmap/CMap+Resources
C:\Users\Dell\Downloads\CredAudit-0.1.6\credaudit_project_016\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,cmap**********CNS1,Low,27,    python tools/conv_cmap.py pdfminer/cmap Adobe-CNS1 cmaprsrc/cid2code_Adobe_CNS1.txt
C:\Users\Dell\Downloads\CredAudit-0.1.6\credaudit_project_016\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,cmap**********CNS1,Low,28,    reading 'cmaprsrc/cid2code_Adobe_CNS1.txt'...
C:\Users\Dell\Downloads\CredAudit-0.1.6\credaudit_project_016\.venv\Lib\site-packages\pip-25.2.dist-info\licenses\src\pip\_vendor\cachecontrol\LICENSE.txt,HighEntropyString,org/**********SE-2,Low,7,    http://www.apache.org/licenses/LICENSE-2.0
C:\Users\Dell\Downloads\CredAudit-0.1.7\credaudit_project_017\.venv\Lib\site-packages\credaudit-0.1.7.dist-info\direct_url.json,HighEntropyString,/Use**********it-0,Low,1,"{""dir_info"": {}, ""url"": ""file:///C:/Users/Dell/Downloads/CredAudit-0.1.7/credaudit_project_017""}"
C:\Users\Dell\Downloads\CredAudit-0.1.7\credaudit_project_017\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,28,   src/lxml/isoschematron/resources/xsl/RNG2Schtrn.xsl and
C:\Users\Dell\Downloads\CredAudit-0.1.7\credaudit_project_017\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,29,   src/lxml/isoschematron/resources/xsl/XSD2Schtrn.xsl)
C:\Users\Dell\Downloads\CredAudit-0.1.7\credaudit_project_017\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,com/**********rces,Low,6,http://opensource.adobe.com/wiki/display/cmap/CMap+Resources
C:\Users\Dell\Downloads\CredAudit-0.1.7\credaudit_project_017\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,cmap**********CNS1,Low,27,    python tools/conv_cmap.py pdfminer/cmap Adobe-CNS1 cmaprsrc/cid2code_Adobe_CNS1.txt
C:\Users\Dell\Downloads\CredAudit-0.1.7\credaudit_project_017\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,cmap**********CNS1,Low,28,    reading 'cmaprsrc/cid2code_Adobe_CNS1.txt'...
C:\Users\Dell\Downloads\CredAudit-0.1.7\credaudit_project_017\.venv\Lib\site-packages\pip-25.2.dist-info\licenses\src\pip\_vendor\cachecontrol\LICENSE.txt,HighEntropyString,org/**********SE-2,Low,7,    http://www.apache.org/licenses/LICENSE-2.0
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\.venv\Lib\site-packages\credaudit-0.2.1.dist-info\direct_url.json,HighEntropyString,/Use**********it-0,Low,1,"{""dir_info"": {}, ""url"": ""file:///C:/Users/Dell/Downloads/CredAudit-0.2.1/credaudit_project_021""}"
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,28,   src/lxml/isoschematron/resources/xsl/RNG2Schtrn.xsl and
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,29,   src/lxml/isoschematron/resources/xsl/XSD2Schtrn.xsl)
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,com/**********rces,Low,6,http://opensource.adobe.com/wiki/display/cmap/CMap+Resources
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,cmap**********CNS1,Low,27,    python tools/conv_cmap.py pdfminer/cmap Adobe-CNS1 cmaprsrc/cid2code_Adobe_CNS1.txt
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\.venv\Lib\site-packages\pdfminer\cmap\README.txt,HighEntropyString,cmap**********CNS1,Low,28,    reading 'cmaprsrc/cid2code_Adobe_CNS1.txt'...
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\.venv\Lib\site-packages\pip-25.2.dist-info\licenses\src\pip\_vendor\cachecontrol\LICENSE.txt,HighEntropyString,org/**********SE-2,Low,7,    http://www.apache.org/licenses/LICENSE-2.0
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\out\report_20250904_235131.json,PasswordAssignment,"pass**********123""",Medium,5,"    ""match"": ""password: secret123"","
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\out\report_20250904_235131.json,PasswordAssignmentLoose,"pass**********123""",Medium,5,"    ""match"": ""password: secret123"","
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\out\report_20250904_235131.json,PasswordAssignment,"pass**********123""",Medium,7,"    ""context"": ""password: secret123"","
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\out\report_20250904_235131.json,PasswordAssignmentLoose,"pass**********123""",Medium,7,"    ""context"": ""password: secret123"","
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\out\report_20250904_235131.json,APIKeyGeneric,sk-a**********7890,Medium,14,"    ""match"": ""api_key=sk-abcde1234567890"","
C:\Users\Dell\Downloads\CredAudit-0.2.1\credaudit_project_021\out\report_20250904_235131.json,HighEntropyString,api_**********7890,Low,14,"    ""match"": ""api_key=sk-abcde1234567890"","
